"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J7,J6,J8,J9";"PinSocket_1x08_P2.54mm_Vertical";4;"Conn_01x08_Female";;;
2;"C1";"C_0805_2012Metric";1;"C";;;
3;"R13";"R_0805_2012Metric";1;"10k";;;
4;"R12";"R_0805_2012Metric";1;"100k";;;
5;"U2";"MicroSDCardAdapter";1;"MicroSDCardAdaptor";;;
6;"U1";"NODEMCU-32S_ESP32";1;"NodeMCU-32S";;;
7;"U3";"LSM6DS3_Breakout";1;"LSM6DS3_Breakout";;;
8;"D1,D2";"D_0805_2012Metric";2;"LEDO";;;
9;"D5,D6,D7,D8,D9";"D_0805_2012Metric";5;"LEDG";;;
10;"J1,J5";"PinSocket_2x08_P2.54mm_Vertical";2;"Conn_02x08_Odd_Even";;;
11;"J2,J3";"PinSocket_1x15_P2.54mm_Vertical";2;"Conn_01x15_Female";;;
12;"R1";"R_0805_2012Metric";1;"1k5";;;
13;"R2,R10";"R_0805_2012Metric";2;"3k3";;;
14;"R5,R3,R4,R11,R6,R7,R8,R9";"R_0805_2012Metric";8;"1k";;;
15;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
16;"D3,D10";"D_0805_2012Metric";2;"LEDR";;;
17;"D4";"D_0805_2012Metric";1;"LEDY";;;
18;"J4";"Conn_4pin_3.96mm_0009483046";1;"Conn_01x04_Female";;;
19;"J10";"500SSP1S2M2QEA";1;"500SSP1S2M2QEA";;;
20;"JP1,JP2";"PinHeader_1x03_P2.54mm_Vertical";2;"Jumper_NC_Dual";;;
21;"Q1";"SOT-23_Handsoldering";1;"Q_NMOS_GSD";;;
22;"U4";"MAX9814_Breakout";1;"MAX9814_Breakout";;;
23;"S1";"MJTP1243";1;"MJTP1243";;;
