Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C","C_0805_2012Metric",27.300000,13.100000,180.000000,top
"D1","LEDO","D_0805_2012Metric",35.700000,17.400000,0.000000,top
"D2","LEDO","D_0805_2012Metric",35.700000,15.300000,0.000000,top
"D3","LEDR","D_0805_2012Metric",27.500000,3.600000,180.000000,top
"D4","LEDY","D_0805_2012Metric",27.500000,5.700000,180.000000,top
"D5","LEDG","D_0805_2012Metric",27.500000,1.500000,180.000000,top
"D10","LEDR","D_0805_2012Metric",39.400000,6.200000,180.000000,top
"Q1","Q_NMOS_GSD","SOT-23_Handsoldering",62.700000,15.700000,180.000000,top
"R1","1k5","R_0805_2012Metric",39.200000,17.400000,180.000000,top
"R2","3k3","R_0805_2012Metric",39.200000,15.300000,180.000000,top
"R3","1k","R_0805_2012Metric",24.000000,3.600000,0.000000,top
"R4","1k","R_0805_2012Metric",24.000000,5.700000,0.000000,top
"R5","1k","R_0805_2012Metric",24.000000,1.500000,0.000000,top
"R10","3k3","R_0805_2012Metric",35.900000,6.200000,0.000000,top
"R11","1k","R_0805_2012Metric",67.200000,14.800000,0.000000,top
"R12","100k","R_0805_2012Metric",20.300000,13.100000,0.000000,top
"R13","10k","R_0805_2012Metric",23.800000,13.100000,180.000000,top
